followers_count,following_count,tweet_count,listed_count,date
87769951,49,59167,112595,2022-11-26-18
87771178,49,59167,112599,2022-11-26-19
87766146,49,59168,112557,2022-11-26-20
87764580,49,59166,112596,2022-11-26-21
87764504,49,59166,112596,2022-11-26-22
87765382,49,59166,112597,2022-11-26-23
87763966,49,59167,112555,2022-11-27-00
87765493,49,59166,112593,2022-11-27-01
87766484,49,59166,112593,2022-11-27-02
87764712,49,59167,112555,2022-11-27-03
87765401,49,59167,112552,2022-11-27-04
87767777,49,59166,112599,2022-11-27-05
87766056,49,59167,112550,2022-11-27-06
87765809,49,59167,112551,2022-11-27-07
87768102,49,59166,112592,2022-11-27-08
87767602,49,59166,112589,2022-11-27-09
87768177,49,59166,112589,2022-11-27-10
87767753,49,59166,112590,2022-11-27-11
87768383,49,59166,112590,2022-11-27-12
87768330,49,59166,112592,2022-11-27-13
87769094,49,59166,112593,2022-11-27-14
87767212,49,59167,112558,2022-11-27-15
87769546,49,59166,112601,2022-11-27-16
87769369,49,59166,112599,2022-11-27-17
87770340,49,59166,112604,2022-11-27-18
87770532,49,59166,112598,2022-11-27-19
87771355,49,59166,112602,2022-11-27-20
87771484,49,59166,112600,2022-11-27-21
87772196,49,59166,112603,2022-11-27-22
87770545,49,59166,112602,2022-11-27-23
87771454,49,59166,112598,2022-11-28-00
87771704,49,59166,112602,2022-11-28-01
87770663,49,59166,112589,2022-11-28-02
87771316,49,59166,112588,2022-11-28-03
87772017,49,59166,112591,2022-11-28-04
87771271,49,59166,112588,2022-11-28-05
87771871,49,59166,112586,2022-11-28-06
87770194,49,59167,112548,2022-11-28-07
87772252,49,59166,112584,2022-11-28-08
87772139,49,59166,112583,2022-11-28-09
87772621,49,59166,112586,2022-11-28-10
87772597,49,59166,112589,2022-11-28-11
87771245,49,59167,112550,2022-11-28-12
87771648,49,59167,112547,2022-11-28-13
87774112,49,59166,112586,2022-11-28-14
87774385,49,59166,112589,2022-11-28-15
87773227,49,59167,112547,2022-11-28-16
87775503,49,59166,112586,2022-11-28-17
87773962,49,59167,112545,2022-11-28-18
87776594,49,59166,112587,2022-11-28-19
87776807,49,59166,112593,2022-11-28-20
87777546,49,59166,112592,2022-11-28-21
87777530,49,59166,112592,2022-11-28-22
87778226,49,59166,112595,2022-11-28-23
87778269,49,59166,112602,2022-11-29-00
87777412,49,59167,112555,2022-11-29-01
87779453,49,59166,112594,2022-11-29-02
87777255,49,59166,112596,2022-11-29-03
87775835,49,59167,112555,2022-11-29-04
87777520,49,59166,112592,2022-11-29-05
87778152,49,59166,112596,2022-11-29-06
87777391,49,59166,112593,2022-11-29-07
87775005,49,59167,112547,2022-11-29-08
87775398,49,59167,112547,2022-11-29-09
87777048,49,59166,112587,2022-11-29-10
87776824,49,59166,112589,2022-11-29-11
87775218,49,59167,112548,2022-11-29-12
87777296,49,59166,112589,2022-11-29-13
87776055,49,59167,112550,2022-11-29-14
87778752,49,59166,4,2022-11-29-15
87777737,49,59167,112551,2022-11-29-16
87780543,49,59166,112589,2022-11-29-17
87781317,49,59166,112582,2022-11-29-18
87779982,49,59167,112543,2022-11-29-19
87782573,49,59166,112584,2022-11-29-20
87783398,49,59166,112584,2022-11-29-21
87781485,49,59167,112551,2022-11-29-22
87780604,49,59166,112594,2022-11-29-23
87781746,49,59166,112591,2022-11-30-00
87783964,49,59166,112588,2022-11-30-01
87784978,49,59166,112592,2022-11-30-02
87783502,49,59167,112545,2022-11-30-03
87785152,49,59166,112591,2022-11-30-04
87784945,49,59166,112594,2022-11-30-05
87785557,49,59166,112585,2022-11-30-06
87785890,49,59166,112588,2022-11-30-07
87786335,49,59166,112586,2022-11-30-08
87786802,49,59166,112585,2022-11-30-09
87787291,49,59166,112592,2022-11-30-10
87785852,49,59167,112548,2022-11-30-11
87787647,49,59166,112587,2022-11-30-12
87788238,49,59166,112588,2022-11-30-13
87788902,49,59166,112589,2022-11-30-14
87789765,49,59166,112591,2022-11-30-15
87790557,49,59166,112596,2022-11-30-16
87789427,49,59167,112551,2022-11-30-17
87792072,49,59166,112591,2022-11-30-18
87790766,49,59166,112554,2022-11-30-19
87791065,49,59153,112555,2022-11-30-20
87793646,49,59152,112594,2022-11-30-21
87794311,49,59152,112588,2022-11-30-22
87794703,49,59152,112589,2022-11-30-23
87795531,49,59152,112593,2022-12-01-00
87796203,49,59152,112597,2022-12-01-01
87795823,49,59152,112598,2022-12-01-02
87796406,49,59152,112590,2022-12-01-03
87796964,49,59152,112593,2022-12-01-04
87795414,49,59152,112593,2022-12-01-05
87795068,49,59152,112586,2022-12-01-06
87795467,49,59152,112590,2022-12-01-07
87795628,49,59152,3,2022-12-01-08
87793902,49,59153,112547,2022-12-01-09
87795956,49,59152,112585,2022-12-01-10
87796272,49,59152,112584,2022-12-01-11
87795504,49,59152,112585,2022-12-01-12
87793943,49,59153,112545,2022-12-01-13
87794384,49,59153,112550,2022-12-01-14
87796830,49,59152,112590,2022-12-01-15
87796510,49,59152,112594,2022-12-01-16
87797072,49,59152,112588,2022-12-01-17
87796872,49,59152,112590,2022-12-01-18
87791525,49,59153,112548,2022-12-01-19
87792258,49,59153,112555,2022-12-01-20
87789093,49,59152,112595,2022-12-01-21
87789024,49,59153,112553,2022-12-01-22
87792896,49,59152,112597,2022-12-01-23
87792384,49,59153,112559,2022-12-02-00
87795802,49,59152,112601,2022-12-02-01
87796445,49,59152,112593,2022-12-02-02
87796937,49,59152,112595,2022-12-02-03
87797054,49,59152,112598,2022-12-02-04
87797778,49,59152,112599,2022-12-02-05
87797147,49,59152,112595,2022-12-02-06
87797949,49,59152,112599,2022-12-02-07
87798442,49,59152,112595,2022-12-02-08
